treatment,session,subject,period,board,expect,box,result,boardtype
independent,140311_1256,4,4,yellow,5,97,miss,high
independent,140311_1256,5,4,yellow,3,97,miss,high
independent,140311_1256,6,4,yellow,2,97,miss,high
independent,140311_1256,7,4,yellow,7,97,miss,high
independent,140311_1256,8,4,yellow,3,97,miss,high
independent,140311_1256,9,4,yellow,4,97,miss,high
independent,140311_1256,2,5,blue,2,87,miss,high
independent,140311_1256,3,5,blue,5,87,miss,high
independent,140311_1256,4,5,blue,3,87,miss,high
independent,140311_1256,5,5,blue,3,87,miss,high
independent,140311_1256,6,5,blue,2,87,miss,high
independent,140311_1256,7,5,blue,8,87,miss,high
independent,140311_1256,8,5,blue,3,87,miss,high
independent,140311_1256,9,5,blue,8,87,miss,high
independent,140311_1256,2,6,yellow,2,76,hit,high
independent,140311_1256,3,6,yellow,2,76,hit,high
independent,140311_1256,4,6,yellow,4,76,hit,high
independent,140311_1256,5,6,yellow,2,76,hit,high
independent,140311_1256,6,6,yellow,2,76,hit,high
independent,140311_1256,7,6,yellow,7,76,hit,high
independent,140311_1256,8,6,yellow,4,76,hit,high
independent,140311_1256,9,6,yellow,2,76,hit,high
independent,140311_1256,2,7,blue,2,64,miss,high
independent,140311_1256,3,7,blue,5,64,miss,high
independent,140311_1256,4,7,blue,2,64,miss,high
independent,140311_1256,5,7,blue,2,64,miss,high
independent,140311_1256,6,7,blue,2,64,miss,high
independent,140311_1256,7,7,blue,6,64,miss,high
independent,140311_1256,8,7,blue,3,64,miss,high
independent,140311_1256,9,7,blue,2,64,miss,high
independent,140311_1256,2,8,blue,2,27,miss,high
independent,140311_1256,3,8,blue,6,27,miss,high
independent,140311_1256,4,8,blue,1,27,miss,high
independent,140311_1256,5,8,blue,2,27,miss,high
independent,140311_1256,6,8,blue,2,27,miss,high
independent,140311_1256,7,8,blue,4,27,miss,high
independent,140311_1256,8,8,blue,4,27,miss,high
independent,140311_1256,9,8,blue,4,27,miss,high
independent,140311_1256,2,9,yellow,2,43,hit,high
independent,140311_1256,3,9,yellow,6,43,hit,high
independent,140311_1256,4,9,yellow,6,43,hit,high
independent,140311_1256,5,9,yellow,2,43,hit,high
independent,140311_1256,6,9,yellow,2,43,hit,high
independent,140311_1256,7,9,yellow,3,43,hit,high
independent,140311_1256,8,9,yellow,2,43,hit,high
independent,140311_1256,9,9,yellow,2,43,hit,high
